phi,label,score
0,Drawing,0.904111921787262
0,Sketch,0.8554063439369202
0,Illustration,0.8481147289276123
0,Duck,0.8195725083351135
0,Art,0.6772549152374268
0,Beak,0.6720882654190063
0,Water bird,0.6706973314285278
0,Bird,0.5731072425842285
0,Black-and-white,0.5640789866447449
0,"Ducks, geese and swans",0.5422998666763306
1,Drawing,0.8865323662757874
1,Illustration,0.8396783471107483
1,Sketch,0.8223191499710083
1,Beak,0.7218586206436157
1,Art,0.6772549152374268
1,Wildlife,0.5761504173278809
1,Black-and-white,0.5640789866447449
1,Bird,0.5422619581222534
1,Line art,0.5121908187866211
2,Bird,0.900457501411438
2,Duck,0.9002814888954163
2,Drawing,0.8952927589416504
2,Beak,0.8724517226219177
2,Sketch,0.8515863418579102
2,Illustration,0.8454303741455078
2,Flightless bird,0.8107343912124634
2,Water bird,0.775508463382721
2,Art,0.6946530342102051
2,Black-and-white,0.6834213137626648
3,Drawing,0.9149844646453857
3,Duck,0.893825113773346
3,Sketch,0.8652383089065552
3,Illustration,0.8555147051811218
3,Water bird,0.771203339099884
3,Beak,0.7256568670272827
3,Bird,0.720199704170227
3,Art,0.7088651061058044
3,Black-and-white,0.6834213137626648
3,"Ducks, geese and swans",0.6593785285949707
4,Drawing,0.9195052981376648
4,Sketch,0.8723104000091553
4,Illustration,0.8531486988067627
4,Duck,0.7128375768661499
4,Black-and-white,0.6834213137626648
4,Hand,0.6600293517112732
4,Art,0.655128538608551
4,Line art,0.641202986240387
4,Bird,0.5841992497444153
4,Water bird,0.5707064270973206
5,Drawing,0.8906058669090271
5,Sketch,0.8326247334480286
5,Illustration,0.829906702041626
5,Beak,0.7199515104293823
5,Art,0.655128538608551
5,Duck,0.6313126683235168
5,Bird,0.6230955123901367
5,Hare,0.592889666557312
6,Drawing,0.8760127425193787
6,Hare,0.8495686054229736
6,Sketch,0.8437027931213379
6,Illustration,0.8381522297859192
6,Snout,0.7342774271965027
6,Rabbit,0.6953182220458984
6,Black-and-white,0.6834213137626648
6,Art,0.655128538608551
6,Rabbits and Hares,0.6026948690414429
6,Beak,0.5080966949462891
7,Drawing,0.9082910418510437
7,Sketch,0.8757601976394653
7,Illustration,0.8531486988067627
7,Bird,0.823334813117981
7,Beak,0.8064273595809937
7,Art,0.6946530342102051
7,Black-and-white,0.6834213137626648
8,Hare,0.9075002074241638
8,Drawing,0.9069129824638367
8,Sketch,0.8868975043296814
8,Illustration,0.842621922492981
8,Rabbit,0.7845017313957214
8,Snout,0.7840312123298645
8,Black-and-white,0.7436744570732117
8,Art,0.6946530342102051
8,Rabbits and Hares,0.6810147166252136
8,Domestic rabbit,0.6650206446647644
9,Drawing,0.9019688367843628
9,Sketch,0.8825049996376038
9,Illustration,0.829906702041626
9,Hare,0.7811475992202759
9,Art,0.6253476738929749
9,Beak,0.6083094477653503
9,Rabbit,0.5053210854530334
10,Drawing,0.9123437404632568
10,Sketch,0.8944096565246582
10,Illustration,0.7932002544403076
10,Hare,0.6991597414016724
10,Black-and-white,0.6834213137626648
10,Art,0.6253476738929749
10,Beak,0.5683373808860779
10,Line art,0.5382013320922852
10,Rabbit,0.533717930316925
10,Artwork,0.5107235908508301
11,Hare,0.8990501165390015
11,Drawing,0.8921912908554077
11,Sketch,0.8579110503196716
11,Illustration,0.7723621129989624
11,Snout,0.7342774271965027
11,Hand,0.6969173550605774
11,Rabbit,0.6953182220458984
11,Black-and-white,0.6834213137626648
11,Art,0.6253476738929749
11,Rabbits and Hares,0.6063924431800842
12,Drawing,0.9034017324447632
12,Sketch,0.8933489918708801
12,Illustration,0.8204352259635925
12,Hand,0.6969173550605774
12,Art,0.6772549152374268
12,Black-and-white,0.5640789866447449
12,Bird,0.5551868677139282
13,Mountain Cottontail,0.9769052863121033
13,Hare,0.9352356195449829
13,Rabbit,0.8814327716827393
13,Drawing,0.8692909479141235
13,Sketch,0.8311896324157715
13,Rabbits and Hares,0.8240503668785095
13,Domestic rabbit,0.8227695822715759
13,Illustration,0.7438470125198364
13,Snout,0.7342774271965027
13,Hand,0.6600293517112732
14,Hare,0.9577335119247437
14,Rabbit,0.8968876004219055
14,Drawing,0.8906058669090271
14,Sketch,0.8591513633728027
14,Rabbits and Hares,0.8313504457473755
14,Domestic rabbit,0.8053427934646606
14,Illustration,0.7901084423065186
14,Snout,0.7342774271965027
14,Black-and-white,0.6834213137626648
14,Hand,0.6600293517112732
15,Hare,0.9616459608078003
15,Rabbit,0.9227629899978638
15,Drawing,0.8873602151870728
15,Domestic rabbit,0.8840745091438293
15,Rabbits and Hares,0.8839150071144104
15,Sketch,0.8463684320449829
15,Snout,0.7342774271965027
15,Illustration,0.7248833179473877
15,Black-and-white,0.6834213137626648
15,Ear,0.5822066068649292
16,Hare,0.9597035646438599
16,Rabbit,0.9072202444076538
16,Drawing,0.8856976628303528
